S	Rodzaj	Symbol	Nazwa	Stan	Dostępne	J.m.	hurtowa netto	hurtowa brutto	Opis	CN
 	towar	50010	Szczotka do zamiatania 35 cm	0	0	szt.	0	0	OMAK, DREWNIANA "CRAVTICO"	
 	towar	521.552	Szczotka do usuwania śniegu	0	0	szt.	20,7	25,46		
 	towar	491.400	SZCZOTKA DO USUWANIA SIERŚCI	0	0	szt.	45,98	56,56		9603 90 99
 	towar	SZCZ/P	SZCZOTKA DO SZOROWANIA NA KIJ - PLASTIK	0	0	szt.	0	0	Chemdom	
 	towar	SZCZ/K	SZCZOTKA DO SZOROWANIA NA KIJ	0	0	szt.	0	0	CRAWTICO, A 02-028	
 	towar	SZCZ/KOSTKA BRUKOWA	SZCZOTKA DO SZOROWANIA 	0	0	szt.	0	0	Metalik ,050196	
 	towar	53635	Szczotka do rur z rączką z średnim włosiem biała	0	0	szt.	0	0	37cmx0,9cm	
 	towar	SZCZ/RĄKMINI	SZCZOTKA DO RĄK ŻELAZKO MINI	0	0	szt.	0	0	Multichem, CHEMDOM	
 	towar	SZCZ/RĄK/MIDI	SZCZOTKA DO RĄK ŻELAZKO MIDI	0	0	szt.	0	0	Chemdom, NIE MA	
 	towar	SZCZ/RĄK/MAXI	SZCZOTKA DO RĄK ŻELAZKO MAXI	0	0	szt.	0	0	Chemdom	
 	towar	3363	SZCZOTKA DO RĄK STONE	0	0	szt.	0	0		
 	towar	AST/TIR/0/G	SZCZOTKA DO MYCIA ZE ŚCIĄGACZKĄ DO WODY	0	0	szt.	0	0	Kufieta	
 	towar	ASZ/TIR/OPR/ŻÓŁ	SZCZOTKA DO MYCIA TIR/OPRAWA/WŁOSIE ŻÓŁTE PET	0	0	szt.	0	0	Kufieta	
 	towar	ASZ/TIR/OPR/MAX	SZCZOTKA DO MYCIA TIR/OPR./MAX	0	0	szt.	0	0	Kufieta	
 	towar	ASZ/TIR/OPR	SZCZOTKA DO MYCIA TIR/ OPRAWA	0	0	szt.	0	0	Kufieta	
 	towar	M350	SZCZOTKA DO MYCIA RĘCZNEGO- zielona	0	0	szt.	15,21	18,71	K2,włosie-tetalon , twarda	
 	towar	644.052	Szczotka do mycia rąk - 644	0	0	szt.	23,1	28,41	70x115mm	
 	towar	ASZ/PS	SZCZOTKA DO MYCIA PS	0	0	szt.	8,05	9,9	Kufieta, pomarańczowa	
 	towar	M358	SZCZOTKA DO MYCIA FELG- niebieska	0	0	szt.	11,95	14,7	K2,twarde włosie	
