sku;stock;price_purchase_net;price_sale_net;price_sale_gross
ATAS0101;8;8.5;15.44;18.99
ATAS0102;0;;;
ATAS0103;6;8.5;15.44;18.99
ATAS0104;5;8.5;15.44;18.99
ATAS0105;3;8.5;15.44;18.99
ATAS0106;0;;;
ATAS0107;19;7.41;15.44;18.99
ATAS0108;0;;;
ATAS0109;0;8.5;15.44;18.99
ATAS0110;2;8.5;15.44;18.99
ATAS0111;0;;;
ATAS0112;2;8.5;15.44;18.99
ATAS0113;3;8.5;15.44;18.99
ATAS0114;0;;;
ATAS0115;0;;;
ATAS0116;3;5.2;9.75;11.99
ATAS0117;10;5.2;8.12;9.99
ATAS0118;1;15.52;26.01;31.99
ATAS0119;5;3;5.68;6.99
ATAS0120;0;6.8;11.37;13.99
ATAS0122;0;;;
ATAS0123;37;8.41;14.63;17.99
ATAS0124;4;4.9;10.56;12.99
ATAS0125;0;;;
ATAS0126;29;13.1;24.38;29.99
ATAS0127;4;4.33;7.31;8.99
ATAS0129;3;66.62;130.07;159.99
ATAS0130;12;4.33;8.12;9.99
ATAS0132;0;17.56;29.26;35.99
ATAS0133;1;9.24;18.69;22.99
ATAS0134;1;3;5.68;6.99
ATAS0135;10;4.33;8.12;9.99
ATAS0136;0;8.5;15.44;18.99
ATAS0137;3;8.1;15.44;18.99
ATAS0138;0;8.5;15.44;18.99
ATAS0139;3;8.72;15.44;18.99
ATAS0140;0;27.58;43.08;52.99
ATAS0141;0;20.34;34.14;41.99
ATAS0142;13;6.6;16.25;19.99
ATAS0143;6;7.56;24.38;29.99
ATAS0144;0;12.46;22.76;27.99
ATAS0145;4;8.2;15.44;18.99
ATAS0146;0;3;5.68;6.99
ATAS0147;0;16.5;32.51;39.99
ATAS0148;3;12;24.38;29.99
ATAS0149;21;15.75;28.45;34.99
ATAS0150;0;6.8;13.81;16.99
ATAS0151;0;7.42;13.81;16.99
ATAS0152;1;267.81;447.15;549.99
ATAS0153;5;12.21;21.94;26.99
ATAS0154;0;3;5.68;6.99
ATAS0155;0;7.32;13;15.99
ATAS0156;0;72.56;132.51;162.99
ATAS0157;12;4.73;10.56;12.99
ATAS0158;14;17.22;32.51;39.99
ATAS0159;4;115.74;209.75;257.99
ATAS0160;1;162.23;294.96;362.8
ATAS0161;16;8.24;13;15.99
ATAS0162;4;2.35;4.06;4.99
ATAS0163;11;14.89;24.38;29.99
ATAS0164;4;6.7;11.37;13.99
ATAS0165;1;8.84;13.81;16.99
ATAS0166;2;8.84;14.63;17.99
ATAS0167;0;5.99;9.75;11.99
ATAS0168;5;8.78;13.81;16.99
ATAS0169;2;11.32;18.69;22.99
ATAS0170;6;16.36;27.63;33.99
ATAS0171;0;10.75;17.88;21.99
ATAS0172;4;7.32;12.19;14.99
ATAS0173;2;21.58;35.76;43.99
ATAS0174;2;45.2;65.03;79.99
ATAS0175;1;10.97;18.69;22.99
ATAS0176;9;13.63;22.76;27.99
ATAS0177;7;18.05;30.07;36.99
ATAS0178;2;8.65;14.63;17.99
ATAS0179;7;9.16;15.44;18.99
ATAS0180;2;0.11;4.8;5.9
ATAS0181;5;7.07;11.37;13.99
ATAS0182;2;8.32;13.81;16.99
ATAS0183;6;10.41;17.88;21.99
ATAS0184;11;12;20.32;24.99
ATAS0185;7;12.28;22.76;27.99
ATAS0186;6;9.73;16.25;19.99
ATAS0187;13;13.26;24.38;29.99
ATAS0188;6;11.84;21.29;22.99
ATAS0189;6;6.43;10.56;12.99
ATAS0190;1;95.29;158.53;194.99
ATAS0191;1;107.88;195.11;239.99
ATAS0192;2;6.34;10.56;12.99
ATAS0193;16;47.25;85.91;105.67
ATAS0194;0;6.12;11.13;13.69
ATAS0195;4;3.44;6.5;7.99
ATAS0196;177;1.42;3.24;3.99
ATAS0197;0;3;5.68;6.99
ATAS0198;0;4.33;8.12;9.99
ATAS0199;6;9.95;17.88;21.99
ATAS0200;0;0;21.13;25.99
ATAS0201;10;3;5.68;6.99
ATAS0202;0;3;5.68;6.99
BAS000001;0;11.33;20.32;24.99
BAS000002;0;25.6;46.29;49.99
BAS000003;0;25.6;46.29;49.99
BAS000004;0;28.52;51.84;55.99
BAS000005;0;20.74;37.03;39.99
BAS000006;4;16.21;29.62;31.99
BAS000007;0;10.82;20.32;24.99
BAS000008;3;43.23;78.85;96.99
BAS000009;0;90.09;163.88;176.99
BAS000010;0;67.73;123.57;151.99
BOL000001;2;18.49;32.51;39.99
CAR000001;0;;;
CAR000002;1;23.2;29.26;35.99
CAR000003;0;115.25;178.04;218.99
CAR000004;0;49.23;81.29;99.99
CAR000005;1;146.78;243.89;299.99
CAR000006;0;65;100.8;123.99
CAR000007;0;94.52;145.52;178.99
CAR000008;0;116.42;178.85;219.99
CAR000009;0;65.85;101.62;124.99
CAR000010;0;112.19;173.16;212.99
CAR000011;0;55.72;91.05;111.99
CAR000012;0;172.8;286.17;351.99
CAR000013;0;61.58;102.43;125.99
